Title,Authors,Abstract,Classifications,Submitted Date,arXiv identifier,DOI,BibTeX Entry,Abstract Summary by GPT-4 (5-16-23)
Deep-Learning-based Vasculature Extraction for Single-Scan Optical Coherence Tomography Angiography,"Jinpeng Liao, Tianyu Zhang, Yilong Zhang, Chunhui Li, Zhihong Huang","Optical coherence tomography angiography (OCTA) is a non-invasive imaging modality that extends the functionality of OCT by extracting moving red blood cell signals from surrounding static biological tissues. OCTA has emerged as a valuable tool for analyzing skin microvasculature, enabling more accurate diagnosis and treatment monitoring. Most existing OCTA extraction algorithms, such as speckle variance (SV)- and eigen-decomposition (ED)-OCTA, implement a larger number of repeated (NR) OCT scans at the same position to produce high-quality angiography images. However, a higher NR requires a longer data acquisition time, leading to more unpredictable motion artifacts. In this study, we propose a vasculature extraction pipeline that uses only one-repeated OCT scan to generate OCTA images. The pipeline is based on the proposed Vasculature Extraction Transformer (VET), which leverages convolutional projection to better learn the spatial relationships between image patches. In comparison to OCTA images obtained via the SV-OCTA (PSNR: 17.809) and ED-OCTA (PSNR: 18.049) using four-repeated OCT scans, OCTA images extracted by VET exhibit moderate quality (PSNR: 17.515) and higher image contrast while reducing the required data acquisition time from ~8 s to ~2 s. Based on visual observations, the proposed VET outperforms SV and ED algorithms when using neck and face OCTA data in areas that are challenging to scan. This study represents that the VET has the capacity to extract vascularture images from a fast one-repeated OCT scan, facilitating accurate diagnosis for patients.","Image and Video Processing, Computer Vision and Pattern Recognition, Medical Physics","3 May, 2023",2304.08282,,"@misc{2304.08282,
      title={{Deep-Learning-based Vasculature Extraction for Single-Scan Optical Coherence Tomography Angiography}},
      author={{Jinpeng Liao and Tianyu Zhang and Yilong Zhang and Chunhui Li and Zhihong Huang}},
      year={2023},
      eprint={2304.08282},
      archivePrefix={arXiv},
      primaryClass={Image and Video Processing}
}","The study presents a new method for generating optical coherence tomography angiography (OCTA) images called Vasculature Extraction Transformer (VET). This method, based on convolutional projection, allows for producing high-quality angiography images with only one OCT scan, reducing the data acquisition time and motion artifacts. VET shows better performance in challenging areas and has potential for more accurate and faster diagnosis and treatment monitoring in patients."
Model-corrected learned primal-dual models for fast limited-view photoacoustic tomography,"Andreas Hauptmann, Jenni Poimala","Learned iterative reconstructions hold great promise to accelerate tomographic imaging with empirical robustness to model perturbations. Nevertheless, an adoption for photoacoustic tomography is hindered by the need to repeatedly evaluate the computational expensive forward model. Computational feasibility can be obtained by the use of fast approximate models, but a need to compensate model errors arises. In this work we advance the methodological and theoretical basis for model corrections in learned image reconstructions by embedding the model correction in a learned primal-dual framework. Here, the model correction is jointly learned in data space coupled with a learned updating operator in image space within an unrolled end-to-end learned iterative reconstruction approach. The proposed formulation allows an extension to a primal-dual deep equilibrium model providing fixed-point convergence as well as reduced memory requirements for training. We provide theoretical and empirical insights into the proposed models with numerical validation in a realistic 2D limited-view setting. The model-corrected learned primal-dual methods show excellent reconstruction quality with fast inference times and thus providing a methodological basis for real-time capable and scalable iterative reconstructions in photoacoustic tomography.","Image and Video Processing, Computer Vision and Pattern Recognition, Machine Learning, Signal Processing, Optimization and Control, Medical Physics","4 April, 2023",2304.01963,,"@misc{2304.01963,
      title={{Model-corrected learned primal-dual models for fast limited-view photoacoustic tomography}},
      author={{Andreas Hauptmann and Jenni Poimala}},
      year={2023},
      eprint={2304.01963},
      archivePrefix={arXiv},
      primaryClass={Image and Video Processing}
}","This study advances the methodological and theoretical basis for model corrections in learned image reconstructions for photoacoustic tomography. The researchers propose a solution that embeds model correction in a learned primal-dual framework, allowing for fixed-point convergence and reduced memory requirements during training. The new model-corrected learned primal-dual methods demonstrate excellent reconstruction quality with fast inference times, providing a foundation for real-time capable and scalable iterative reconstructions in photoacoustic tomography."
Multi-focus averaging for multiple scattering suppression in optical coherence tomography,"Lida Zhu, Shuichi Makita, Junya Tamaoki, Antonia Lichtenegger, Yiheng Lim, Yiqiang Zhu, Makoto Kobayashiand Yoshiaki Yasuno","Multiple scattering is one of the main factors that limits the penetration depth of optical coherence tomography (OCT) in scattering samples. We propose a method termed multi-focus averaging (MFA) to suppress the multiple-scattering signals and improve the image contrast of OCT in deep regions. The MFA method captures multiple OCT volumes with various focal positions and averages them in complex form after correcting the varying defocus through computational refocusing. Because the multiple-scattering takes different trajectories among the different focal position configurations, this averaging suppresses the multiple-scattering signal. Meanwhile, the single-scattering takes a consistent trajectory regardless of the focal position configuration and is not suppressed. Hence, the MFA method improves the signal ratio between the single- and multiple-scattering signals and improves the image contrast. A scattering phantom and a postmortem zebrafish were measured for validation of the proposed method. The results showed that the contrast of intensity images of both the phantom and zebrafish were improved using the MFA method, such that they were better than the contrast provided by the standard complex averaging method. The MFA method provides a cost-effective solution for contrast enhancement through multiple-scattering reduction in tissue imaging using OCT systems.","Optics, Biological Physics, Instrumentation and Detectors, Medical Physics","21 April, 2023",2304.11309,,"@misc{2304.11309,
      title={{Multi-focus averaging for multiple scattering suppression in optical coherence tomography}},
      author={{Lida Zhu and Shuichi Makita and Junya Tamaoki and Antonia Lichtenegger and Yiheng Lim and Yiqiang Zhu and Makoto Kobayashiand Yoshiaki Yasuno}},
      year={2023},
      eprint={2304.11309},
      archivePrefix={arXiv},
      primaryClass={Optics}
}","The study proposes a method called multi-focus averaging (MFA) to improve the image contrast of optical coherence tomography (OCT) in deep regions by suppressing multiple-scattering signals. The method involves capturing multiple OCT volumes with different focal positions and averaging them after correcting defocus. This improves the signal ratio between single- and multiple-scattering signals, resulting in better image contrast. The MFA method was validated using a scattering phantom and a postmortem zebrafish, showing better contrast results than the standard complex averaging method."
Improving Automated Hemorrhage Detection in Sparse-view Computed Tomography via Deep Convolutional Neural Network based Artifact Reduction,"Johannes Thalhammer, Manuel Schultheiss, Tina Dorosti, Tobias Lasser, Franz Pfeiffer, Daniela Pfeiffer, Florian Schaff","Intracranial hemorrhage poses a serious health problem requiring rapid and often intensive medical treatment. For diagnosis, a Cranial Computed Tomography (CCT) scan is usually performed. However, the increased health risk caused by radiation is a concern. The most important strategy to reduce this potential risk is to keep the radiation dose as low as possible and consistent with the diagnostic task. Sparse-view CT can be an effective strategy to reduce dose by reducing the total number of views acquired, albeit at the expense of image quality. In this work, we use a U-Net architecture to reduce artifacts from sparse-view CCTs, predicting fully sampled reconstructions from sparse-view ones. We evaluate the hemorrhage detectability in the predicted CCTs with a hemorrhage classification convolutional neural network, trained on fully sampled CCTs to detect and classify different sub-types of hemorrhages. Our results suggest that the automated classification and detection accuracy of hemorrhages in sparse-view CCTs can be improved substantially by the U-Net. This demonstrates the feasibility of rapid automated hemorrhage detection on low-dose CT data to assist radiologists in routine clinical practice.","Image and Video Processing, Computer Vision and Pattern Recognition, Machine Learning, Medical Physics","16 March, 2023",2303.0934,,"@misc{2303.09340,
      title={{Improving Automated Hemorrhage Detection in Sparse-view Computed Tomography via Deep Convolutional Neural Network based Artifact Reduction}},
      author={{Johannes Thalhammer and Manuel Schultheiss and Tina Dorosti and Tobias Lasser and Franz Pfeiffer and Daniela Pfeiffer and Florian Schaff}},
      year={2023},
      eprint={2303.09340},
      archivePrefix={arXiv},
      primaryClass={Image and Video Processing}
}","The study focuses on using a U-Net architecture to reduce artifacts in sparse-view Cranial Computed Tomography (CCT) scans, which helps lower radiation dose. By improving hemorrhage detectability in these scans, the research suggests the potential for rapid automated hemorrhage detection on low-dose CT data, which can aid radiologists in their practice."
A theoretical model for en face optical coherence tomography imaging and its application to volumetric differential contrast imaging,"Kiriko Tomita, Shuichi Makita, Naoki Fukutake, Rion Morishita, Ibrahim Abd El-Sadek, Pradipta Mukherjee, Antonia Lichtenegger, Junya Tamaoki, Lixuan Bian, Makoto Kobayashi, Tomoko Mori, Satoshi Matsusaka, Yoshiaki Yasuno","A new formulation of lateral optical coherence tomography (OCT) imaging process and a new differential contrast method designed by using this formulation are presented. The formulation is based on a mathematical sample model called the dispersed scatterer model (DSM), in which the sample is represented as a material with a spatially slowly varying refractive index and randomly distributed scatterers embedded in the material. It is shown that the formulation represents a meaningful OCT image and speckle as two independent mathematical quantities. The new differential contrast method is based on complex signal processing of OCT images, and the physical and numerical imaging processes of this method are jointly formulated using the same theoretical strategy as in the case of OCT. The formula shows that the method provides a spatially differential image of the sample structure. This differential imaging method is validated by measuring in vivo and in vitro samples.","Optics, Biological Physics, Instrumentation and Detectors, Medical Physics","23 March, 2023",2303.13139,,"@misc{2303.13139,
      title={{A theoretical model for en face optical coherence tomography imaging and its application to volumetric differential contrast imaging}},
      author={{Kiriko Tomita and Shuichi Makita and Naoki Fukutake and Rion Morishita and Ibrahim Abd El-Sadek and Pradipta Mukherjee and Antonia Lichtenegger and Junya Tamaoki and Lixuan Bian and Makoto Kobayashi and Tomoko Mori and Satoshi Matsusaka and Yoshiaki Yasuno}},
      year={2023},
      eprint={2303.13139},
      archivePrefix={arXiv},
      primaryClass={Optics}
}","The study presents a new formulation for lateral optical coherence tomography (OCT) imaging and a new differential contrast method using the dispersed scatterer model. The formulation separates meaningful OCT images and speckle as independent mathematical quantities, while the differential contrast method provides a spatially differential image of the sample structure, using complex signal processing. The method has been validated on in vivo and in vitro samples."
Nonlinear ill-posed problem in low-dose dental cone-beam computed tomography,"Hyoung Suk Park, Chang Min Hyun, Jin Keun Seo","This paper describes the mathematical structure of the ill-posed nonlinear inverse problem of low-dose dental cone-beam computed tomography (CBCT) and explains the advantages of a deep learning-based approach to the reconstruction of computed tomography images over conventional regularization methods. This paper explains the underlying reasons why dental CBCT is more ill-posed than standard computed tomography. Despite this severe ill-posedness, the demand for dental CBCT systems is rapidly growing because of their cost competitiveness and low radiation dose. We then describe the limitations of existing methods in the accurate restoration of the morphological structures of teeth using dental CBCT data severely damaged by metal implants. We further discuss the usefulness of panoramic images generated from CBCT data for accurate tooth segmentation. We also discuss the possibility of utilizing radiation-free intra-oral scan data as prior information in CBCT image reconstruction to compensate for the damage to data caused by metal implants.","Image and Video Processing, Computer Vision and Pattern Recognition, Medical Physics","2 March, 2023",2303.01678,,"@misc{2303.01678,
      title={{Nonlinear ill-posed problem in low-dose dental cone-beam computed tomography}},
      author={{Hyoung Suk Park and Chang Min Hyun and Jin Keun Seo}},
      year={2023},
      eprint={2303.01678},
      archivePrefix={arXiv},
      primaryClass={Image and Video Processing}
}",This paper discusses the challenges in low-dose dental cone-beam computed tomography (CBCT) due to its ill-posed nature and the growing demand for such systems. The authors mention the limitations of conventional methods for restoring tooth morphology when dental CBCT data is damaged by metal implants. They suggest a deep learning-based approach for reconstruction and explore the benefits of using panoramic images and radiation-free intra-oral scan data as prior information to improve image quality.
Characterization of breast tissues in density and effective atomic number basis via spectral X-ray computed tomography,"Stevan Vrbaski, Lucia Mariel Arana Peña, Luca Brombal, Sandro Donato, Angelo Taibi, Adriano Contillo, Renata Longo","Differentiation of breast tissues is challenging in X-ray imaging because tissues might share similar or even the same linear attenuation coefficients $μ$. Spectral computed tomography (CT) allows for more quantitative characterization in terms of tissue density and effective atomic number by exploiting the energy dependence of $μ$. In this work, 5 mastectomy samples and a phantom with inserts mimicking breast soft tissues were evaluated in a retrospective study. The samples were imaged at three monochromatic energy levels in the range of 24 - 38 keV at 5 mGy per scan using a propagation-based phase-contrast setup at SYRMEP beamline at the Italian national synchrotron Elettra. A custom-made algorithm incorporating CT reconstructions of an arbitrary number of spectral energy channels was developed to extract the density and effective atomic number of adipose, fibro-glandular, pure glandular, tumor, and skin from regions selected by a radiologist. Preliminary results suggest that, via spectral CT, it is possible to enhance tissue differentiation. It was found that adipose, fibro-glandular and tumorous tissues have average effective atomic numbers (5.94 $\pm$ 0.09, 7.03 $\pm$ 0.012, and 7.40 $\pm$ 0.10) and densities (0.90 $\pm$ 0.02, 0.96 $\pm$ 0.02, and 1.07 $\pm$ 0.03 g/cm$^{3}$) and can be better distinguished if both quantitative values are observed together.",Medical Physics,"14 February, 2023",2302.06979,,"@misc{2302.06979,
      title={{Characterization of breast tissues in density and effective atomic number basis via spectral X-ray computed tomography}},
      author={{Stevan Vrbaski and Lucia Mariel Arana Peña and Luca Brombal and Sandro Donato and Angelo Taibi and Adriano Contillo and Renata Longo}},
      year={2023},
      eprint={2302.06979},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The study demonstrates that using spectral computed tomography (CT) improves the differentiation of breast tissues in X-ray imaging. This method helps in quantifying tissue density and effective atomic number, enhancing tissue differentiation. The results show that adipose, fibro-glandular, and tumorous tissues can be better distinguished by observing both quantitative values together."
open-UST: An Open-Source Ultrasound Tomography Transducer Array System,"Morgan Roberts, Eleanor Martin, Michael D. Brown, Ben T. Cox, Bradley E. Treeby","Fast imaging methods are needed to promote widespread clinical adoption of Ultrasound Tomography (UST), and more widely available UST hardware could support the experimental validation of new measurement configurations. In this work, an open-source 256-element transducer ring array was developed (morganjroberts.github.io/open-UST) and manufactured using rapid prototyping, for only £2k. Novel manufacturing techniques were used, resulting in a 1.17$^{\circ}$ mean beam axis skew angle, a 104 $μ$m mean element position error, and a $\pm$13.6 $μ$m deviation in matching layer thickness. The nominal acoustic performance was measured using hydrophone scans and watershot data, and the 61.2 dB SNR, 55.4$^{\circ}$ opening angle, 16.3 mm beamwidth and 54% transmit-receive bandwidth (-12 dB), were found to be similar to existing systems, and compatible with full waveform inversion reconstruction methods. The inter-element variation in acoustic performance was typically <10% without using normalisation, meaning that the elements can be modelled identically during image reconstruction, removing the need for individual source definitions based on hydrophone measurements. Finally, data from a phantom experiment was successfully reconstructed. These results demonstrate that the open-UST system is accessible for users, and suitable for UST imaging research.",Medical Physics,"20 February, 2023",2302.10114,,"@misc{2302.10114,
      title={{open-UST: An Open-Source Ultrasound Tomography Transducer Array System}},
      author={{Morgan Roberts and Eleanor Martin and Michael D. Brown and Ben T. Cox and Bradley E. Treeby}},
      year={2023},
      eprint={2302.10114},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","An open-source 256-element transducer ring array for Ultrasound Tomography (UST) was developed and manufactured using rapid prototyping and novel techniques, costing only £2k. The system showed similar performance to existing systems and its acoustic performance exhibited less than 10% inter-element variation. The system has been deemed accessible for users and suitable for UST imaging research."
Improving the Timing Resolution of Positron Emission Tomography Detectors using Boosted Learning -- A Residual Physics Approach,"Stephan Naunheim, Yannick Kuhl, David Schug, Volkmar Schulz, Florian Mueller","Artificial intelligence is finding its way into medical imaging, usually focusing on image reconstruction or enhancing analytical reconstructed images. However, optimizations along the complete processing chain, from detecting signals to computing data, enable significant improvements. Thus, we present an approach toward detector optimization using boosted learning by exploiting the concept of residual physics. In our work, we improve the coincidence time resolution (CTR) of positron emission tomography (PET) detectors. PET enables imaging of metabolic processes by detecting γ-photons with scintillation detectors. Current research exploits light-sharing detectors, where the scintillation light is distributed over and digitized by an array of readout channels. While these detectors demonstrate excellent performance parameters, e.g., regarding spatial resolution, extracting precise timing information for time-of-flight (TOF) becomes more challenging due to deteriorating effects called time skews. Conventional correction methods mainly rely on analytical formulations, theoretically capable of covering all time skew effects, e.g., caused by signal runtimes or physical effects. However, additional effects are involved for light-sharing detectors, so finding suitable analytical formulations can become arbitrarily complicated. The residual physics-based strategy uses gradient tree boosting (GTB) and a physics-informed data generation mimicking an actual imaging process by shifting a radiation source. We used clinically relevant detectors with a height of 19 mm, coupled to digital photosensor arrays. All trained models improved the CTR significantly. Using the best model, we achieved CTRs down to 198 ps (185 ps) for energies ranging from 300 keV to 700 keV (450 keV to 550 keV).","Machine Learning, Instrumentation and Detectors, Medical Physics","3 February, 2023",2302.01681,,"@misc{2302.01681,
      title={{Improving the Timing Resolution of Positron Emission Tomography Detectors using Boosted Learning -- A Residual Physics Approach}},
      author={{Stephan Naunheim and Yannick Kuhl and David Schug and Volkmar Schulz and Florian Mueller}},
      year={2023},
      eprint={2302.01681},
      archivePrefix={arXiv},
      primaryClass={Machine Learning}
}","This study presents an approach towards optimizing detectors in medical imaging, specifically positron emission tomography (PET) detectors, using boosted learning and residual physics. Current research on PET detectors faces challenges in extracting precise timing information due to time skews. The study's method uses gradient tree boosting and physics-informed data generation to improve the coincidence time resolution (CTR) of PET detectors. The results show significant improvement in CTR with the best model achieving CTRs down to 198 ps for energies ranging from 300 keV to 700 keV."
Radiation design in computed tomography via convex optimization,"Anatoli Juditsky, Arkadi Nemirovski, Michael Zibulevsky","Proper X-ray radiation design (via dynamic fluence field modulation, FFM) allows to reduce effective radiation dose in computed tomography without compromising image quality. It takes into account patient anatomy, radiation sensitivity of different organs and tissues, and location of regions of interest. We account all these factors within a general convex optimization framework.","Medical Physics, Optimization and Control, Applications, Computation","12 January, 2023",2301.03379,,"@misc{2301.03379,
      title={{Radiation design in computed tomography via convex optimization}},
      author={{Anatoli Juditsky and Arkadi Nemirovski and Michael Zibulevsky}},
      year={2023},
      eprint={2301.03379},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The study presents proper X-ray radiation design through dynamic fluence field modulation (FFM) which can reduce radiation dose in computed tomography without affecting image quality. This is achieved by considering patient anatomy, radiation sensitivity, and region of interest within a convex optimization framework."
A forward model incorporating elevation-focused transducer properties for 3D full-waveform inversion in ultrasound computed tomography,"Fu Li, Umberto Villa, Nebojsa Duric, Mark A. Anastasio","Ultrasound computed tomography (USCT) is an emerging medical imaging modality that holds great promise for improving human health. Full-waveform inversion (FWI)-based image reconstruction methods account for the relevant wave physics to produce high spatial resolution images of the acoustic properties of the breast tissues. A practical USCT design employs a circular ring-array comprised of elevation-focused ultrasonic transducers, and volumentric imaging is achieved by translating the ring-array orthogonally to the imaging plane. In commonly deployed slice-by-slice (SBS) reconstruction approaches, the three-dimensional (3D) volume is reconstructed by stacking together two-dimensional (2D) images reconstructed for each position of the ring-array. A limitation of the SBS reconstruction approach is that it does not account for 3D wave propagation physics and the focusing properties of the transducers, which can result in significant image artifacts and inaccuracies. To perform 3D image reconstruction when elevation-focused transducers are employed, a numerical description of the focusing properties of the transducers should be included in the forward model. To address this, a 3D computational model of an elevation-focused transducer is developed to enable 3D FWI-based reconstruction methods to be deployed in ring-array-based USCT. The focusing is achieved by applying a spatially varying temporal delay to the ultrasound pulse (emitter mode) and recorded signal (receiver mode). The proposed numerical transducer model is quantitatively validated and employed in computer-simulation studies that demonstrate its use in image reconstruction for ring-array USCT",Medical Physics,"18 January, 2023",2301.07787,,"@misc{2301.07787,
      title={{A forward model incorporating elevation-focused transducer properties for 3D full-waveform inversion in ultrasound computed tomography}},
      author={{Fu Li and Umberto Villa and Nebojsa Duric and Mark A. Anastasio}},
      year={2023},
      eprint={2301.07787},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","Ultrasound computed tomography (USCT) is a promising medical imaging technique that can improve human health. Current USCT designs use a circular ring-array of elevation-focused ultrasonic transducers for volumetric imaging. The common method used for image reconstruction, slice-by-slice (SBS), has limitations in terms of accuracy and artifacts. To address this, a 3D computational model of an elevation-focused transducer is developed to enable 3D full-waveform inversion (FWI)-based reconstruction methods in ring-array-based USCT. This model incorporates the focusing properties of the transducers, improving the imaging process."
Dynamic Full-Field Optical Coherence Tomography module adapted to commercial microscopes for longitudinal in vitro cell culture study,"Tual Monfort, Salvatore Azzollini, Jeremy Brogard, Marilou Clémençon, Amélie Slembrouck-Brec, Valerie Forster, Serge Picaud, Olivier Goureau, Sacha Reichman, Olivier Thouvenin, Kate Grieve","Dynamic full-field optical coherence tomography (D-FFOCT) has recently emerged as a label-free imaging tool, capable of resolving cell types and organelles within 3D live samples, whilst monitoring their activity at tens of milliseconds resolution. Here, a D-FFOCT module design is presented which can be coupled to a commercial microscope with a stage top incubator, allowing non-invasive label-free longitudinal imaging over periods of minutes to weeks on the same sample. Long term volumetric imaging on human induced pluripotent stem cell-derived retinal organoids is demonstrated, highlighting tissue and cell organisation as well as cell shape, motility and division. Imaging on retinal explants highlights single 3D cone and rod structures. An optimal workflow for data acquisition, postprocessing and saving is demonstrated, resulting in a time gain factor of 10 compared to prior state of the art. Finally, a method to increase D-FFOCT signal-to-noise ratio is demonstrated, allowing rapid organoid screening.","Quantitative Methods, Medical Physics, Optics","30 January, 2023",2301.12888,,"@misc{2301.12888,
      title={{Dynamic Full-Field Optical Coherence Tomography module adapted to commercial microscopes for longitudinal in vitro cell culture study}},
      author={{Tual Monfort and Salvatore Azzollini and Jeremy Brogard and Marilou Clémençon and Amélie Slembrouck-Brec and Valerie Forster and Serge Picaud and Olivier Goureau and Sacha Reichman and Olivier Thouvenin and Kate Grieve}},
      year={2023},
      eprint={2301.12888},
      archivePrefix={arXiv},
      primaryClass={Quantitative Methods}
}","A new Dynamic Full-Field Optical Coherence Tomography (D-FFOCT) module design has been developed for label-free 3D live sample imaging, enabling the resolution of cell types and organelles while tracking their activity at high speed. This module can be paired with a commercial microscope and allows non-invasive, long-term imaging of human pluripotent stem cell-derived retinal organoids, single 3D cone and rod structures in retinal explants, and tissue and cell organization. The optimized workflow results in a time gain factor of 10 compared to previous methods, and a technique for increasing signal-to-noise ratio allows for rapid organoid screening."
Machine Learning-based Signal Quality Assessment for Cardiac Volume Monitoring in Electrical Impedance Tomography,"Chang Min Hyun, Tae Jun Jang, Jeongchan Nam, Hyeuknam Kwon, Kiwan Jeon, Kyunghun Lee","Owing to recent advances in thoracic electrical impedance tomography, a patient's hemodynamic function can be noninvasively and continuously estimated in real-time by surveilling a cardiac volume signal associated with stroke volume and cardiac output. In clinical applications, however, a cardiac volume signal is often of low quality, mainly because of the patient's deliberate movements or inevitable motions during clinical interventions. This study aims to develop a signal quality indexing method that assesses the influence of motion artifacts on transient cardiac volume signals. The assessment is performed on each cardiac cycle to take advantage of the periodicity and regularity in cardiac volume changes. Time intervals are identified using the synchronized electrocardiography system. We apply divergent machine-learning methods, which can be sorted into discriminative-model and manifold-learning approaches. The use of machine-learning could be suitable for our real-time monitoring application that requires fast inference and automation as well as high accuracy. In the clinical environment, the proposed method can be utilized to provide immediate warnings so that clinicians can minimize confusion regarding patients' conditions, reduce clinical resource utilization, and improve the confidence level of the monitoring system. Numerous experiments using actual EIT data validate the capability of cardiac volume signals degraded by motion artifacts to be accurately and automatically assessed in real-time by machine learning. The best model achieved an accuracy of 0.95, positive and negative predictive values of 0.96 and 0.86, sensitivity of 0.98, specificity of 0.77, and AUC of 0.96.","Signal Processing, Machine Learning, Medical Physics","4 January, 2023",2301.01469,,"@misc{2301.01469,
      title={{Machine Learning-based Signal Quality Assessment for Cardiac Volume Monitoring in Electrical Impedance Tomography}},
      author={{Chang Min Hyun and Tae Jun Jang and Jeongchan Nam and Hyeuknam Kwon and Kiwan Jeon and Kyunghun Lee}},
      year={2023},
      eprint={2301.01469},
      archivePrefix={arXiv},
      primaryClass={Signal Processing}
}","Recent advances in thoracic electrical impedance tomography allow for noninvasive real-time estimation of a patient's hemodynamic function. However, the signal quality is often affected by patient motion. This study aims to develop a machine-learning-based signal quality indexing method to assess the influence of motion artifacts on cardiac volume signals. By using machine learning, the proposed method can provide real-time monitoring, fast inference, automation, and high accuracy. It can be utilized in clinical environments to provide immediate warnings and improve the confidence level of the monitoring system. Experiments validate the capability of accurately and automatically assessing cardiac volume signals degraded by motion artifacts using machine learning."
Label-free intratissue activity imaging of alveolar organoids with dynamic optical coherence tomography,"Rion Morishita, Pradipta Mukherjee, Ibrahim Abd El-Sadek, Toshio Suzuki, Yiheng Lim, Antonia Lichtenegger, Shuichi Makita, Kiriko Tomita, Yuki Yamamoto, Tetsuharu Nagamoto, Yoshiaki Yasuno","An organoid is a three-dimensional (3D) in vitro cell culture emulating human organs. We applied 3D dynamic optical coherence tomography (DOCT) to visualize the intratissue and intracellular activities of human induced pluripotent stem cells (hiPSCs)-derived alveolar organoids in normal and fibrosis models. 3D DOCT data were acquired with an 840-nm spectral domain optical coherence tomography with axial and lateral resolutions of 3.8 μm (in tissue) and 4.9 μm, respectively. The DOCT images were obtained by the logarithmic-intensity-variance (LIV) algorithm, which is sensitive to the signal fluctuation magnitude. The LIV images revealed cystic structures surrounded by high-LIV borders and mesh-like structures with low LIV. The former may be alveoli with a highly dynamics epithelium, while the latter may be fibroblasts. The LIV images also demonstrated the abnormal repair of the alveolar epithelium.","Biological Physics, Applied Physics, Instrumentation and Detectors, Medical Physics, Optics","2 May, 2023",2301.13114,10.1364/BOE.488097,"@misc{2301.13114,
      title={{Label-free intratissue activity imaging of alveolar organoids with dynamic optical coherence tomography}},
      author={{Rion Morishita and Pradipta Mukherjee and Ibrahim Abd El-Sadek and Toshio Suzuki and Yiheng Lim and Antonia Lichtenegger and Shuichi Makita and Kiriko Tomita and Yuki Yamamoto and Tetsuharu Nagamoto and Yoshiaki Yasuno}},
      year={2023},
      eprint={2301.13114},
      archivePrefix={arXiv},
      primaryClass={Biological Physics}
}","Researchers have used 3D dynamic optical coherence tomography (DOCT) to visualize the activities of human induced pluripotent stem cells-derived alveolar organoids in normal and fibrosis models. The DOCT images revealed cystic structures and mesh-like structures, potentially representing alveoli and fibroblasts, respectively. These images also showed abnormal repair of alveolar epithelium."
Possible depth-resolved reconstruction of shear moduli in the cornea following collagen crosslinking (CXL) with optical coherence tomography and elastography,"Gabriel Regnault, Mitchell A. Kirby, Ruikang K. Wang, Tueng T. Shen, Matthew O'Donnell, Ivan Pelivanov","Collagen crosslinking of the cornea (CXL) is commonly employed to prevent or treat keratoconus. Although the change of corneal stiffness induced by CXL surgery can be monitored with non-contact dynamic Optical Coherence Elastography (OCE) by tracking mechanical wave propagation, the depth dependence of this change is still unclear if the cornea is not crosslinked through the whole depth. Here we propose to combine phase-decorrelation measurement applied to OCT structural images and acoustic micro-tapping (A$μ$T) OCE to explore possible depth reconstruction of stiffness within crosslinked corneas in an ex vivo human cornea sample. The analysis of experimental OCT images is used to define the penetration depth of CXL into the cornea, which varies from $\sim$100$μm$ in the periphery to $\sim$150$μm$ in the central area and exhibits a sharp transition between areas. This information was used in a two-layer analytical model to quantify the stiffness of the treated layer. We also discuss how the elastic moduli of partially CXL-treated cornea layers reconstructed from OCE measurements reflect the effective mechanical stiffness of the entire cornea to properly quantify surgical outcome.",Medical Physics,"25 April, 2023",2301.12037,,"@misc{2301.12037,
      title={{Possible depth-resolved reconstruction of shear moduli in the cornea following collagen crosslinking (CXL) with optical coherence tomography and elastography}},
      author={{Gabriel Regnault and Mitchell A. Kirby and Ruikang K. Wang and Tueng T. Shen and Matthew O'Donnell and Ivan Pelivanov}},
      year={2023},
      eprint={2301.12037},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The study proposes a method to explore the depth reconstruction of stiffness within crosslinked corneas using phase-decorrelation measurement and acoustic micro-tapping Optical Coherence Elastography (OCE). This is applied to an ex vivo human cornea sample to analyze the penetration depth of collagen crosslinking (CXL) surgery, a treatment for keratoconus. The research also discusses how the elastic moduli of partially treated cornea layers reflect the overall mechanical stiffness of the cornea to determine surgical outcomes."
